dataset,split,image_path,ex_path,he_path,ma_path,se_path,tjdr_ann_path
TJDR,train,TJDR/train/image/TJDR_train_131.png,,,,,TJDR/train/annotation/TJDR_train_131.png
DDR,train,DDR-SEGMENTATION/train/image/007-3396-200.jpg,DDR-SEGMENTATION/train/label/EX/007-3396-200.tif,DDR-SEGMENTATION/train/label/HE/007-3396-200.tif,DDR-SEGMENTATION/train/label/MA/007-3396-200.tif,DDR-SEGMENTATION/train/label/SE/007-3396-200.tif,
DDR,train,DDR-SEGMENTATION/valid/image/007-5942-300.jpg,DDR-SEGMENTATION/valid/label/EX/007-5942-300.tif,DDR-SEGMENTATION/valid/label/HE/007-5942-300.tif,DDR-SEGMENTATION/valid/label/MA/007-5942-300.tif,DDR-SEGMENTATION/valid/label/SE/007-5942-300.tif,
DDR,train,DDR-SEGMENTATION/train/image/007-1921-100.jpg,DDR-SEGMENTATION/train/label/EX/007-1921-100.tif,DDR-SEGMENTATION/train/label/HE/007-1921-100.tif,DDR-SEGMENTATION/train/label/MA/007-1921-100.tif,DDR-SEGMENTATION/train/label/SE/007-1921-100.tif,
TJDR,train,TJDR/train/image/TJDR_train_091.png,,,,,TJDR/train/annotation/TJDR_train_091.png
TJDR,train,TJDR/train/image/TJDR_train_252.png,,,,,TJDR/train/annotation/TJDR_train_252.png
TJDR,train,TJDR/train/image/TJDR_train_389.png,,,,,TJDR/train/annotation/TJDR_train_389.png
DDR,train,DDR-SEGMENTATION/train/image/007-4980-300.jpg,DDR-SEGMENTATION/train/label/EX/007-4980-300.tif,DDR-SEGMENTATION/train/label/HE/007-4980-300.tif,DDR-SEGMENTATION/train/label/MA/007-4980-300.tif,DDR-SEGMENTATION/train/label/SE/007-4980-300.tif,
DDR,train,DDR-SEGMENTATION/train/image/007-2366-100.jpg,DDR-SEGMENTATION/train/label/EX/007-2366-100.tif,DDR-SEGMENTATION/train/label/HE/007-2366-100.tif,DDR-SEGMENTATION/train/label/MA/007-2366-100.tif,DDR-SEGMENTATION/train/label/SE/007-2366-100.tif,
TJDR,train,TJDR/train/image/TJDR_train_116.png,,,,,TJDR/train/annotation/TJDR_train_116.png
DDR,train,DDR-SEGMENTATION/train/image/007-5526-300.jpg,DDR-SEGMENTATION/train/label/EX/007-5526-300.tif,DDR-SEGMENTATION/train/label/HE/007-5526-300.tif,DDR-SEGMENTATION/train/label/MA/007-5526-300.tif,DDR-SEGMENTATION/train/label/SE/007-5526-300.tif,
TJDR,train,TJDR/train/image/TJDR_train_371.png,,,,,TJDR/train/annotation/TJDR_train_371.png
DDR,train,DDR-SEGMENTATION/train/image/007-6894-400.jpg,DDR-SEGMENTATION/train/label/EX/007-6894-400.tif,DDR-SEGMENTATION/train/label/HE/007-6894-400.tif,DDR-SEGMENTATION/train/label/MA/007-6894-400.tif,DDR-SEGMENTATION/train/label/SE/007-6894-400.tif,
DDR,train,DDR-SEGMENTATION/valid/image/007-3008-100.jpg,DDR-SEGMENTATION/valid/label/EX/007-3008-100.tif,DDR-SEGMENTATION/valid/label/HE/007-3008-100.tif,DDR-SEGMENTATION/valid/label/MA/007-3008-100.tif,DDR-SEGMENTATION/valid/label/SE/007-3008-100.tif,
DDR,train,DDR-SEGMENTATION/valid/image/007-3045-100.jpg,DDR-SEGMENTATION/valid/label/EX/007-3045-100.tif,DDR-SEGMENTATION/valid/label/HE/007-3045-100.tif,DDR-SEGMENTATION/valid/label/MA/007-3045-100.tif,DDR-SEGMENTATION/valid/label/SE/007-3045-100.tif,
TJDR,train,TJDR/train/image/TJDR_train_361.png,,,,,TJDR/train/annotation/TJDR_train_361.png
TJDR,train,TJDR/train/image/TJDR_train_233.png,,,,,TJDR/train/annotation/TJDR_train_233.png
DDR,train,DDR-SEGMENTATION/train/image/007-5320-300.jpg,DDR-SEGMENTATION/train/label/EX/007-5320-300.tif,DDR-SEGMENTATION/train/label/HE/007-5320-300.tif,DDR-SEGMENTATION/train/label/MA/007-5320-300.tif,DDR-SEGMENTATION/train/label/SE/007-5320-300.tif,
TJDR,train,TJDR/train/image/TJDR_train_178.png,,,,,TJDR/train/annotation/TJDR_train_178.png
TJDR,train,TJDR/train/image/TJDR_train_041.png,,,,,TJDR/train/annotation/TJDR_train_041.png
DDR,train,DDR-SEGMENTATION/train/image/007-3787-200.jpg,DDR-SEGMENTATION/train/label/EX/007-3787-200.tif,DDR-SEGMENTATION/train/label/HE/007-3787-200.tif,DDR-SEGMENTATION/train/label/MA/007-3787-200.tif,DDR-SEGMENTATION/train/label/SE/007-3787-200.tif,
DDR,train,DDR-SEGMENTATION/train/image/007-6505-400.jpg,DDR-SEGMENTATION/train/label/EX/007-6505-400.tif,DDR-SEGMENTATION/train/label/HE/007-6505-400.tif,DDR-SEGMENTATION/train/label/MA/007-6505-400.tif,DDR-SEGMENTATION/train/label/SE/007-6505-400.tif,
TJDR,train,TJDR/train/image/TJDR_train_037.png,,,,,TJDR/train/annotation/TJDR_train_037.png
DDR,train,DDR-SEGMENTATION/train/image/007-4244-200.jpg,DDR-SEGMENTATION/train/label/EX/007-4244-200.tif,DDR-SEGMENTATION/train/label/HE/007-4244-200.tif,DDR-SEGMENTATION/train/label/MA/007-4244-200.tif,DDR-SEGMENTATION/train/label/SE/007-4244-200.tif,
TJDR,train,TJDR/train/image/TJDR_train_442.png,,,,,TJDR/train/annotation/TJDR_train_442.png
DDR,train,DDR-SEGMENTATION/train/image/20170517171512703.jpg,DDR-SEGMENTATION/train/label/EX/20170517171512703.tif,DDR-SEGMENTATION/train/label/HE/20170517171512703.tif,DDR-SEGMENTATION/train/label/MA/20170517171512703.tif,DDR-SEGMENTATION/train/label/SE/20170517171512703.tif,
TJDR,train,TJDR/train/image/TJDR_train_291.png,,,,,TJDR/train/annotation/TJDR_train_291.png
TJDR,train,TJDR/train/image/TJDR_train_147.png,,,,,TJDR/train/annotation/TJDR_train_147.png
TJDR,train,TJDR/train/image/TJDR_train_422.png,,,,,TJDR/train/annotation/TJDR_train_422.png
DDR,train,DDR-SEGMENTATION/train/image/007-4038-200.jpg,DDR-SEGMENTATION/train/label/EX/007-4038-200.tif,DDR-SEGMENTATION/train/label/HE/007-4038-200.tif,DDR-SEGMENTATION/train/label/MA/007-4038-200.tif,DDR-SEGMENTATION/train/label/SE/007-4038-200.tif,
TJDR,train,TJDR/train/image/TJDR_train_039.png,,,,,TJDR/train/annotation/TJDR_train_039.png
IDRID,train,IDRID/Original_Images/train/IDRiD_09.jpg,IDRID/Segmentation_Groundtruths/train/3. Hard Exudates/IDRiD_09_EX.tif,IDRID/Segmentation_Groundtruths/train/2. Haemorrhages/IDRiD_09_HE.tif,IDRID/Segmentation_Groundtruths/train/1. Microaneurysms/IDRiD_09_MA.tif,,
DDR,train,DDR-SEGMENTATION/train/image/007-2326-100.jpg,DDR-SEGMENTATION/train/label/EX/007-2326-100.tif,DDR-SEGMENTATION/train/label/HE/007-2326-100.tif,DDR-SEGMENTATION/train/label/MA/007-2326-100.tif,DDR-SEGMENTATION/train/label/SE/007-2326-100.tif,
IDRID,train,IDRID/Original_Images/train/IDRiD_15.jpg,IDRID/Segmentation_Groundtruths/train/3. Hard Exudates/IDRiD_15_EX.tif,IDRID/Segmentation_Groundtruths/train/2. Haemorrhages/IDRiD_15_HE.tif,IDRID/Segmentation_Groundtruths/train/1. Microaneurysms/IDRiD_15_MA.tif,,
DDR,train,DDR-SEGMENTATION/valid/image/20170629163635747.jpg,DDR-SEGMENTATION/valid/label/EX/20170629163635747.tif,DDR-SEGMENTATION/valid/label/HE/20170629163635747.tif,DDR-SEGMENTATION/valid/label/MA/20170629163635747.tif,DDR-SEGMENTATION/valid/label/SE/20170629163635747.tif,
TJDR,train,TJDR/train/image/TJDR_train_309.png,,,,,TJDR/train/annotation/TJDR_train_309.png
